Playtype,Team,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
PRBallHandler,Los Angeles Clippers,47,842,16.145700454712,641,233,640,0.76128298044205,27,2,36.40625,39.84375,9.7387173396675,15.439429928741,7.9572446555819,1.187648456057,35.866983372922
PRBallHandler,New York Knicks,49,875,16.416500091553,725,270,663,0.82857102155685,16,13,40.723981900452,44.268476621418,10.4,15.885714285714,8.6857142857143,2.0571428571429,38.742857142857
PRBallHandler,Chicago Bulls,48,853,16.372400283813,710,273,645,0.83235597610474,14,15,42.325581395349,45.968992248062,8.6752637749121,17.233294255569,7.0339976553341,1.641266119578,38.921453692849
PRBallHandler,Toronto Raptors,46,822,16.190700531006,666,258,610,0.81021898984909,22,7,42.295081967213,45.983606557377,8.6374695863747,18.856447688564,7.7858880778589,1.8248175182482,37.834549878345
PRBallHandler,Los Angeles Lakers,47,883,16.50779914856,751,297,702,0.85051000118256,8,21,42.307692307692,45.797720797721,8.4937712344281,14.156285390713,7.4745186862967,2.2650056625142,39.637599093998
PRBallHandler,Memphis Grizzlies,47,893,18.120899200439,747,272,678,0.83650600910187,13,16,40.117994100295,44.542772861357,9.96640537514,15.341545352744,7.8387458006719,1.3437849944009,38.745800671892
PRBallHandler,Atlanta Hawks,47,833,16.193599700928,732,288,628,0.87875199317932,5,24,45.859872611465,49.68152866242,8.2833133253301,18.007202881152,6.8427370948379,1.6806722689076,41.176470588235
PRBallHandler,Washington Wizards,48,860,16.384099960327,704,269,650,0.81860500574112,19,10,41.384615384615,45.461538461538,8.6046511627907,17.209302325581,7.3255813953488,1.3953488372093,38.023255813953
PRBallHandler,Minnesota Timberwolves,51,877,16.056400299072,737,286,645,0.84036499261856,12,17,44.341085271318,47.751937984496,9.4640820980616,19.384264538198,8.6659064994299,2.3945267958951,39.45267958951
PRBallHandler,Orlando Magic,47,951,18.204399108887,802,322,753,0.84332299232483,10,19,42.762284196547,46.414342629482,7.3606729758149,15.141955835962,7.0452155625657,1.6824395373291,39.432176656151
PRBallHandler,Denver Nuggets,48,785,15.272399902344,689,271,587,0.87770700454712,6,23,46.166950596252,50.170357751278,8.1528662420382,18.343949044586,6.7515923566879,1.2738853503185,41.019108280255
PRBallHandler,Milwaukee Bucks,46,747,15.251099586487,610,226,523,0.81660002470016,20,9,43.21223709369,46.940726577438,10.977242302544,21.552878179384,8.433734939759,2.5435073627845,38.420348058902
PRBallHandler,Charlotte Hornets,46,919,18.427900314331,775,312,710,0.84330797195435,11,18,43.943661971831,46.971830985915,7.5081610446137,16.430903155604,6.20239390642,1.1969532100109,40.043525571273
PRBallHandler,Phoenix Suns,48,1023,19.028999328613,922,365,815,0.90127098560333,3,26,44.78527607362,48.895705521472,8.6999022482893,13.098729227761,7.624633431085,1.466275659824,42.326490713587
PRBallHandler,Sacramento Kings,48,815,16.065399169922,750,279,600,0.92024499177933,2,27,46.5,52.0,11.411042944785,17.423312883436,10.061349693252,2.4539877300613,42.576687116564
PRBallHandler,San Antonio Spurs,50,982,18.72620010376,816,338,796,0.83095699548721,15,14,42.462311557789,45.665829145729,5.8044806517312,14.052953156823,5.193482688391,0.91649694501018,39.205702647658
PRBallHandler,Utah Jazz,48,903,17.835300445557,735,280,673,0.81395298242569,21,8,41.604754829123,45.319465081724,9.1915836101883,18.050941306755,8.1949058693245,1.7718715393134,38.095238095238
PRBallHandler,Detroit Pistons,46,688,14.141799926758,569,224,483,0.82703500986099,18,11,46.376811594203,49.171842650104,9.4476744186047,22.529069767442,7.9941860465116,2.1802325581395,39.68023255814
PRBallHandler,Portland Trail Blazers,48,1067,20.6422996521,932,365,848,0.8734769821167,7,22,43.042452830189,45.224056603774,9.9343955014058,11.902530459231,8.2474226804124,1.3120899718838,42.455482661668
PRBallHandler,Philadelphia 76ers,44,882,17.678899765015,821,308,682,0.93083900213242,1,28,45.161290322581,49.120234604106,11.337868480726,13.265306122449,9.297052154195,1.9274376417234,43.990929705215
PRBallHandler,Miami Heat,48,1063,21.082899093628,861,338,835,0.80997198820114,23,6,40.479041916168,43.293413173653,9.0310442144873,14.016933207902,8.3725305738476,1.6933207902164,38.852304797742
PRBallHandler,Brooklyn Nets,48,1193,22.315799713135,1053,424,992,0.88264900445938,4,25,42.741935483871,45.816532258065,8.2984073763621,9.8072087175189,7.4601844090528,1.4249790444258,42.162615255658
PRBallHandler,Dallas Mavericks,48,908,18.008699417114,859,331,724,0.94603502750397,0,29,45.718232044199,50.690607734807,9.2511013215859,12.775330396476,8.2599118942731,1.7621145374449,43.612334801762
PRBallHandler,Indiana Pacers,48,837,16.139600753784,664,257,626,0.79330897331238,25,4,41.054313099042,44.648562300319,8.363201911589,18.279569892473,6.6905615292712,1.4336917562724,37.15651135006
PRBallHandler,New Orleans Pelicans,47,907,17.113199234009,706,263,694,0.77838999032974,26,3,37.896253602305,41.4265129683,9.2613009922822,15.87651598677,7.7177508269019,1.6538037486218,36.052921719956
PRBallHandler,Houston Rockets,46,715,14.360300064087,606,228,521,0.84755200147629,9,20,43.761996161228,48.9443378119,9.3706293706294,19.300699300699,7.4125874125874,1.6783216783217,39.160839160839
PRBallHandler,Cleveland Cavaliers,46,679,13.501700401306,562,214,511,0.82768797874451,17,12,41.87866927593,47.847358121331,8.3946980854197,18.262150220913,7.3637702503682,1.9145802650957,37.40795287187
