TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,EFG_PCT_ON,EFG_PCT_OFF,EFG_PCT_DIFF,FTA_RATE_ON,FTA_RATE_OFF,FTA_RATE_DIFF,TM_TOV_PCT_ON,TM_TOV_PCT_OFF,TM_TOV_PCT_DIFF,OREB_PCT_ON,OREB_PCT_OFF,OREB_PCT_DIFF,OPP_EFG_PCT_ON,OPP_EFG_PCT_OFF,OPP_EFG_PCT_DIFF,OPP_FTA_RATE_ON,OPP_FTA_RATE_OFF,OPP_FTA_RATE_DIFF,OPP_TOV_PCT_ON,OPP_TOV_PCT_OFF,OPP_TOV_PCT_DIFF,OPP_OREB_PCT_ON,OPP_OREB_PCT_OFF,OPP_OREB_PCT_DIFF
Toronto Raptors,"McKinnie, Alfonzo",9.0,38,-29.0,8.0,28,-20.0,1.0,10,-9.0,0.889,0.737,0.152,33.0,1801.0,-1768.0,0.713,0.535,0.178,0.204,0.268,-0.064,0.141,0.136,0.005,0.2,0.228,-0.028,0.442,0.508,-0.066,0.45,0.279,0.171,0.127,0.157,-0.03,0.323,0.226,0.097
Toronto Raptors,"Miles, CJ",31.0,38,-7.0,22.0,28,-6.0,9.0,10,-1.0,0.71,0.737,-0.027,565.0,1269.0,-704.0,0.513,0.55,-0.037,0.254,0.273,-0.019,0.13,0.14,-0.01,0.225,0.228,-0.003,0.518,0.502,0.016,0.31,0.27,0.04,0.167,0.152,0.015,0.253,0.217,0.036
Toronto Raptors,"Miller, Malcolm",2.0,38,-36.0,2.0,28,-26.0,0.0,10,-10.0,1.0,0.737,0.263,8.0,1826.0,-1818.0,0.333,0.539,-0.206,0.222,0.267,-0.045,0.056,0.137,-0.081,0.25,0.227,0.023,0.607,0.506,0.101,0.071,0.283,-0.212,0.217,0.156,0.061,0.0,0.228,-0.228
Toronto Raptors,"Nogueira, Lucas",22.0,38,-16.0,15.0,28,-13.0,7.0,10,-3.0,0.682,0.737,-0.055,244.0,1590.0,-1346.0,0.53,0.539,-0.009,0.209,0.276,-0.067,0.126,0.138,-0.012,0.186,0.234,-0.048,0.49,0.509,-0.019,0.271,0.284,-0.013,0.173,0.154,0.019,0.235,0.227,0.008
Toronto Raptors,"Poeltl, Jakob",38.0,38,0.0,28.0,28,0.0,10.0,10,0.0,0.737,0.737,0.0,655.0,1179.0,-524.0,0.525,0.546,-0.021,0.242,0.281,-0.039,0.14,0.134,0.006,0.247,0.215,0.032,0.507,0.506,0.001,0.328,0.259,0.069,0.17,0.149,0.021,0.225,0.229,-0.004
Toronto Raptors,"Powell, Norman",33.0,38,-5.0,23.0,28,-5.0,10.0,10,0.0,0.697,0.737,-0.04,585.0,1249.0,-664.0,0.521,0.546,-0.025,0.225,0.286,-0.061,0.15,0.13,0.02,0.202,0.239,-0.037,0.514,0.503,0.011,0.278,0.285,-0.007,0.167,0.152,0.015,0.227,0.228,-0.001
Toronto Raptors,"Siakam, Pascal",37.0,38,-1.0,28.0,28,0.0,9.0,10,-1.0,0.757,0.737,0.02,733.0,1101.0,-368.0,0.534,0.541,-0.007,0.216,0.301,-0.085,0.141,0.134,0.007,0.228,0.227,0.001,0.499,0.511,-0.012,0.287,0.28,0.007,0.165,0.151,0.014,0.237,0.222,0.015
Toronto Raptors,"Valanciunas, Jonas",34.0,38,-4.0,26.0,28,-2.0,8.0,10,-2.0,0.765,0.737,0.028,712.0,1122.0,-410.0,0.554,0.528,0.026,0.287,0.254,0.033,0.144,0.132,0.012,0.232,0.224,0.008,0.518,0.499,0.019,0.249,0.306,-0.057,0.131,0.173,-0.042,0.216,0.236,-0.02
Toronto Raptors,"VanVleet, Fred",38.0,38,0.0,28.0,28,0.0,10.0,10,0.0,0.737,0.737,0.0,679.0,1155.0,-476.0,0.526,0.546,-0.02,0.233,0.287,-0.054,0.134,0.138,-0.004,0.234,0.223,0.011,0.485,0.519,-0.034,0.293,0.277,0.016,0.166,0.151,0.015,0.232,0.226,0.006
Toronto Raptors,"Wright, Delon",26.0,38,-12.0,19.0,28,-9.0,7.0,10,-3.0,0.731,0.737,-0.006,551.0,1283.0,-732.0,0.518,0.547,-0.029,0.286,0.259,0.027,0.14,0.135,0.005,0.238,0.222,0.016,0.508,0.506,0.002,0.304,0.274,0.03,0.183,0.145,0.038,0.243,0.221,0.022
Utah Jazz,"Bradley, Tony",8.0,40,-32.0,5.0,16,-11.0,3.0,24,-21.0,0.625,0.4,0.225,28.0,1897.0,-1869.0,0.4,0.518,-0.118,0.327,0.237,0.09,0.036,0.15,-0.114,0.265,0.193,0.072,0.565,0.525,0.04,0.174,0.265,-0.091,0.209,0.157,0.052,0.167,0.212,-0.045
Utah Jazz,"Burks, Alec",39.0,40,-1.0,16.0,16,0.0,23.0,24,-1.0,0.41,0.4,0.01,732.0,1193.0,-461.0,0.521,0.512,0.009,0.283,0.212,0.071,0.125,0.162,-0.037,0.194,0.195,-0.001,0.529,0.524,0.005,0.277,0.255,0.022,0.149,0.164,-0.015,0.2,0.218,-0.018
Utah Jazz,"Favors, Derrick",38.0,40,-2.0,16.0,16,0.0,22.0,24,-2.0,0.421,0.4,0.021,1067.0,858.0,209.0,0.526,0.503,0.023,0.218,0.264,-0.046,0.162,0.131,0.031,0.214,0.173,0.041,0.531,0.519,0.012,0.231,0.304,-0.073,0.154,0.163,-0.009,0.206,0.218,-0.012
Utah Jazz,"Gobert, Rudy",18.0,40,-22.0,7.0,16,-9.0,11.0,24,-13.0,0.389,0.4,-0.011,539.0,1386.0,-847.0,0.489,0.525,-0.036,0.264,0.229,0.035,0.178,0.136,0.042,0.193,0.196,-0.003,0.509,0.532,-0.023,0.252,0.268,-0.016,0.169,0.154,0.015,0.229,0.204,0.025
Utah Jazz,"Hood, Rodney",31.0,40,-9.0,11.0,16,-5.0,20.0,24,-4.0,0.355,0.4,-0.045,894.0,1030.0,-136.0,0.51,0.521,-0.011,0.24,0.237,0.003,0.145,0.15,-0.005,0.181,0.207,-0.026,0.532,0.52,0.012,0.289,0.241,0.048,0.149,0.166,-0.017,0.206,0.216,-0.01
Utah Jazz,"Ingles, Joe",40.0,40,0.0,16.0,16,0.0,24.0,24,0.0,0.4,0.4,0.0,1221.0,704.0,517.0,0.519,0.509,0.01,0.211,0.288,-0.077,0.155,0.136,0.019,0.19,0.202,-0.012,0.531,0.515,0.016,0.255,0.279,-0.024,0.153,0.168,-0.015,0.219,0.196,0.023
Utah Jazz,"Jerebko, Jonas",32.0,40,-8.0,13.0,16,-3.0,19.0,24,-5.0,0.406,0.4,0.006,556.0,1369.0,-813.0,0.523,0.512,0.011,0.242,0.237,0.005,0.141,0.151,-0.01,0.229,0.18,0.049,0.534,0.522,0.012,0.275,0.259,0.016,0.161,0.157,0.004,0.211,0.211,0.0
Utah Jazz,"Johnson, Joe",19.0,40,-21.0,7.0,16,-9.0,12.0,24,-12.0,0.368,0.4,-0.032,395.0,1530.0,-1135.0,0.489,0.522,-0.033,0.213,0.245,-0.032,0.154,0.147,0.007,0.151,0.206,-0.055,0.526,0.525,0.001,0.246,0.268,-0.022,0.149,0.161,-0.012,0.267,0.196,0.071
Utah Jazz,"Mitchell, Donovan",38.0,40,-2.0,15.0,16,-1.0,23.0,24,-1.0,0.395,0.4,-0.005,1186.0,739.0,447.0,0.525,0.501,0.024,0.24,0.236,0.004,0.152,0.142,0.01,0.198,0.189,0.009,0.527,0.523,0.004,0.26,0.269,-0.009,0.156,0.162,-0.006,0.213,0.208,0.005
Utah Jazz,"Mitrou-Long, Naz",1.0,8,-7.0,0.0,2,-2.0,1.0,6,-5.0,0.0,0.25,-0.25,1.0,383.0,-382.0,1.5,0.487,1.013,2.0,0.223,1.777,0.0,0.139,-0.139,0.0,0.18,-0.18,0.0,0.543,-0.543,0.0,0.223,-0.223,1.0,0.134,0.866,0.0,0.19,-0.19
Utah Jazz,"Neto, Raul",17.0,40,-23.0,8.0,16,-8.0,9.0,24,-15.0,0.471,0.4,0.071,226.0,1699.0,-1473.0,0.521,0.515,0.006,0.273,0.234,0.039,0.131,0.15,-0.019,0.195,0.195,0.0,0.44,0.537,-0.097,0.304,0.258,0.046,0.167,0.157,0.01,0.188,0.214,-0.026
Utah Jazz,"O'Neale, Royce",27.0,40,-13.0,11.0,16,-5.0,16.0,24,-8.0,0.407,0.4,0.007,271.0,1653.0,-1382.0,0.524,0.514,0.01,0.295,0.229,0.066,0.118,0.153,-0.035,0.224,0.19,0.034,0.49,0.531,-0.041,0.271,0.262,0.009,0.166,0.157,0.009,0.165,0.219,-0.054
Utah Jazz,"Rubio, Ricky",39.0,40,-1.0,16.0,16,0.0,23.0,24,-1.0,0.41,0.4,0.01,1124.0,801.0,323.0,0.503,0.533,-0.03,0.212,0.277,-0.065,0.157,0.136,0.021,0.19,0.202,-0.012,0.539,0.507,0.032,0.252,0.28,-0.028,0.163,0.151,0.012,0.213,0.208,0.005
Utah Jazz,"Sefolosha, Thabo",36.0,40,-4.0,15.0,16,-1.0,21.0,24,-3.0,0.417,0.4,0.017,780.0,1145.0,-365.0,0.524,0.51,0.014,0.279,0.212,0.067,0.141,0.153,-0.012,0.194,0.195,-0.001,0.518,0.531,-0.013,0.271,0.258,0.013,0.165,0.153,0.012,0.202,0.217,-0.015
Utah Jazz,"Udoh, Ekpe",37.0,40,-3.0,16.0,16,0.0,21.0,24,-3.0,0.432,0.4,0.032,586.0,1339.0,-753.0,0.524,0.512,0.012,0.216,0.249,-0.033,0.129,0.156,-0.027,0.168,0.207,-0.039,0.524,0.526,-0.002,0.307,0.245,0.062,0.17,0.153,0.017,0.203,0.214,-0.011
Utah Jazz,"Wolters, Nate",5.0,40,-35.0,3.0,16,-13.0,2.0,24,-22.0,0.6,0.4,0.2,19.0,1906.0,-1887.0,0.431,0.517,-0.086,0.278,0.238,0.04,0.085,0.149,-0.064,0.421,0.192,0.229,0.583,0.525,0.058,0.133,0.265,-0.132,0.178,0.158,0.02,0.267,0.211,0.056
Memphis Grizzlies,"Brooks, Dillon",39.0,39,0.0,12.0,12,0.0,27.0,27,0.0,0.308,0.308,0.0,1057.0,820.0,237.0,0.5,0.508,-0.008,0.265,0.294,-0.029,0.142,0.154,-0.012,0.188,0.243,-0.055,0.518,0.521,-0.003,0.288,0.355,-0.067,0.157,0.152,0.005,0.244,0.229,0.015
