Playtype,Team,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
PRRollman,Los Angeles Lakers,47,335,6.2117600440979,360,143,277,1.074630022049,15,14,51.624548736462,56.859205776173,11.641791044776,8.0597014925373,11.044776119403,2.6865671641791,50.746268656716
PRRollman,New York Knicks,49,469,8.7696304321289,506,211,392,1.078889966011,16,13,53.826530612245,58.035714285714,8.5287846481876,10.44776119403,8.1023454157783,2.5586353944563,50.533049040512
PRRollman,Indiana Pacers,48,602,11.721199989319,622,256,503,1.0332200527191,6,23,50.894632206759,54.870775347913,9.8006644518272,9.9667774086379,9.468438538206,3.3222591362126,48.338870431894
PRRollman,Brooklyn Nets,48,416,7.7858901023865,435,163,337,1.0456700325012,10,19,48.367952522255,51.928783382789,14.663461538462,7.4519230769231,14.663461538462,3.125,50.480769230769
PRRollman,Dallas Mavericks,48,384,7.6799998283386,440,181,343,1.1458300352097,26,3,52.769679300292,58.309037900875,8.0729166666667,4.1666666666667,7.2916666666667,1.5625,53.125
PRRollman,Miami Heat,48,313,6.2338199615479,350,140,258,1.1182099580765,21,8,54.263565891473,58.914728682171,12.779552715655,8.6261980830671,12.140575079872,3.8338658146965,52.396166134185
PRRollman,Detroit Pistons,46,157,3.1807100772858,160,67,137,1.0191099643707,5,24,48.905109489051,51.824817518248,9.5541401273885,5.7324840764331,9.5541401273885,2.5477707006369,49.044585987261
PRRollman,Milwaukee Bucks,46,234,4.8719501495361,274,110,193,1.1709400415421,27,2,56.99481865285,61.658031088083,11.965811965812,7.6923076923077,11.965811965812,2.1367521367521,55.128205128205
PRRollman,Orlando Magic,47,358,6.9258999824524,374,146,315,1.0446900129318,9,20,46.349206349206,53.809523809524,7.2625698324022,5.8659217877095,7.2625698324022,1.3966480446927,46.368715083799
PRRollman,Philadelphia 76ers,44,202,4.0513401031494,197,76,161,0.97524797916412,1,28,47.204968944099,52.173913043478,11.881188118812,10.39603960396,9.4059405940594,1.980198019802,45.544554455446
PRRollman,Utah Jazz,48,301,5.9545001983643,313,121,238,1.0398700237274,8,21,50.840336134454,52.941176470588,16.611295681063,9.3023255813953,16.279069767442,4.9833887043189,51.162790697674
PRRollman,Washington Wizards,48,305,5.8272800445557,279,114,250,0.91475397348404,0,29,45.6,50.2,8.8524590163934,11.475409836066,7.5409836065574,2.2950819672131,43.606557377049
PRRollman,Memphis Grizzlies,47,408,8.2943696975708,429,168,338,1.051470041275,11,18,49.704142011834,54.585798816568,10.539215686275,9.3137254901961,9.8039215686275,2.6960784313725,49.019607843137
