RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
64,"Jonas Valanciunas, C",MEM,31,25.0,0.72,1.15,1.87,1.41
65,"Karl-Anthony Towns, C",MIN,23,33.9,4.84,-2.97,1.87,1.45
66,"Deandre Ayton, C",PHX,3,26.0,1.28,0.55,1.83,0.14
67,"Brandon Goodwin, PG",ATL,5,10.8,0.55,1.25,1.80,0.10
68,"Justise Winslow, SF",MIA,10,33.7,-0.16,1.95,1.79,0.60
69,"Spencer Dinwiddie, PG",BKN,32,31.0,2.53,-0.75,1.78,1.75
70,"Gordon Hayward, SF",BOS,15,30.7,1.94,-0.17,1.77,0.74
71,"Sterling Brown, SG",MIL,25,16.9,0.03,1.72,1.75,0.72
72,"J.J. Barea, PG",DAL,8,13.9,1.17,0.56,1.73,0.19
73,"Denzel Valentine, SG",CHI,20,13.0,0.38,1.35,1.72,0.44
74,"Jarrett Allen, C",BKN,32,26.5,0.78,0.94,1.72,1.46
75,"Patty Mills, PG",SA,32,23.3,2.43,-0.73,1.70,1.24
76,"George Hill, PG",MIL,33,21.5,2.14,-0.45,1.69,1.17
77,"Royce O'Neale, SF",UTAH,33,29.4,-0.27,1.93,1.66,1.60
78,"Gary Payton II, PG",WSH,4,27.5,1.00,0.63,1.63,0.18
79,"Lonnie Walker IV, SG",SA,24,10.2,0.50,1.10,1.60,0.39
80,"Daniel Theis, PF",BOS,28,21.5,-1.41,2.96,1.55,0.89
81,"Joe Ingles, SF",UTAH,33,29.9,-0.74,2.28,1.55,1.54
82,"Josh Hart, SG",NO,27,27.7,0.08,1.42,1.50,1.19
83,"Andre Drummond, C",DET,32,33.8,0.24,1.25,1.49,1.58
84,"Bogdan Bogdanovic, SG",SAC,29,28.2,-0.39,1.89,1.49,1.16
85,"Kristaps Porzingis, PF",DAL,31,31.2,0.05,1.42,1.47,1.47
86,"Fred VanVleet, SG",TOR,29,36.2,0.35,1.11,1.46,1.56
87,"Brandon Ingram, SF",NO,30,34.1,2.10,-0.65,1.45,1.59
88,"Brad Wanamaker, PG",BOS,31,18.7,-0.43,1.88,1.45,0.83
89,"Steven Adams, C",OKC,30,27.7,0.79,0.65,1.43,1.18
90,"John Collins, PF",ATL,9,31.9,-0.06,1.48,1.42,0.43
91,"Jamal Murray, PG",DEN,33,31.9,-0.18,1.60,1.42,1.44
92,"Ian Mahinmi, C",WSH,12,21.3,0.21,1.20,1.41,0.38
93,"Kendrick Nunn, SG",MIA,33,30.7,-0.17,1.57,1.40,1.47
94,"T.J. Warren, SF",IND,34,32.3,-0.97,2.35,1.38,1.53
95,"Delon Wright, PG",DAL,31,20.6,0.70,0.67,1.37,0.90
96,"Mikal Bridges, SF",PHX,33,22.0,-0.27,1.64,1.36,1.08
97,"Malcolm Brogdon, PG",IND,27,30.5,1.32,0.04,1.35,1.16
98,"Naz Mitrou-Long, SG",IND,3,14.3,0.28,1.07,1.34,0.06
99,"Mason Plumlee, PF",DEN,33,17.2,-0.05,1.37,1.33,0.75
100,"Nikola Vucevic, C",ORL,22,31.4,0.55,0.73,1.29,0.95
101,"Tomas Satoransky, SG",CHI,34,28.1,0.10,1.17,1.27,1.34
102,"Lou Williams, SG",LAC,32,30.3,2.75,-1.49,1.26,1.38
103,"Damion Lee, SG",GS,21,25.9,0.85,0.40,1.25,0.71
104,"Robert Covington, PF",MIN,31,28.4,0.83,0.39,1.22,1.22
105,"Doug McDermott, SF",IND,34,21.2,1.09,0.13,1.22,0.94
106,"Jaxson Hayes, C",NO,31,20.2,1.33,-0.12,1.21,0.88
107,"Meyers Leonard, PF",MIA,33,19.0,-0.46,1.66,1.20,0.82
108,"Rudy Gay, SF",SA,32,22.7,0.38,0.81,1.19,0.97
109,"Chris Boucher, PF",TOR,31,13.0,0.60,0.59,1.19,0.51
110,"Gary Harris, SG",DEN,31,32.9,-1.29,2.45,1.16,1.26
111,"Tim Hardaway Jr., SG",DAL,32,25.5,1.28,-0.16,1.11,1.06
112,"Josh Richardson, SG",PHI,28,31.6,-0.44,1.54,1.10,1.07
113,"Wendell Carter Jr., C",CHI,34,30.0,-1.94,3.04,1.10,1.28
114,"Danny Green, SG",LAL,33,25.4,0.47,0.60,1.07,1.01
115,"Gorgui Dieng, C",MIN,28,16.8,-1.94,2.98,1.04,0.57
116,"Cedi Osman, SF",CLE,33,28.6,-0.63,1.64,1.01,1.11
117,"Skal Labissiere, PF",POR,33,17.2,0.28,0.73,1.01,0.66
118,"Jordan Clarkson, PG",CLE/UTAH,32,23.1,1.27,-0.27,1.00,0.87
119,"Russell Westbrook, PG",HOU,30,35.3,2.41,-1.41,1.00,1.30
120,"Joe Harris, SG",BKN,32,31.9,0.35,0.60,0.96,1.22
121,"Dwight Howard, C",LAL,33,19.6,0.18,0.78,0.95,0.71
122,"Devin Booker, SG",PHX,30,35.8,3.45,-2.50,0.95,1.28
123,"Harrison Barnes, SF",SAC,34,35.1,-1.48,2.37,0.89,1.27
124,"Kyrie Irving, PG",BKN,11,33.8,3.04,-2.15,0.89,0.44
125,"Hassan Whiteside, C",POR,31,29.5,0.12,0.74,0.86,0.97
126,"Damyean Dotson, SG",NY,29,17.1,-0.01,0.85,0.84,0.53
127,"Maxi Kleber, PF",DAL,32,24.1,-1.00,1.83,0.84,0.80
128,"Rajon Rondo, PG",LAL,21,21.5,0.46,0.38,0.83,0.47
129,"Stephen Curry, PG",GS,4,28.0,3.46,-2.63,0.83,0.13
130,"Boban Marjanovic, C",DAL,16,9.6,0.87,-0.04,0.83,0.15
131,"Marcus Morris Sr., SF",NY,30,31.5,-0.15,0.97,0.82,1.00
132,"Patrick Patterson, PF",LAC,31,14.7,-0.14,0.93,0.79,0.50
133,"Jordan McRae, SG",WSH,16,19.6,2.09,-1.30,0.79,0.36
134,"Willie Cauley-Stein, C",GS,31,23.4,-1.70,2.47,0.77,0.75
135,"Zach LaVine, PG",CHI,34,33.3,1.06,-0.34,0.73,1.16
136,"Evan Fournier, SG",ORL,33,30.9,0.95,-0.23,0.72,1.01
137,"Bismack Biyombo, C",CHA,34,18.8,-1.51,2.22,0.71,0.56
138,"JaMychal Green, PF",LAC,26,20.7,-0.02,0.72,0.70,0.53
139,"Andrew Wiggins, SF",MIN,26,35.8,1.26,-0.57,0.69,0.94
140,"Dorian Finney-Smith, SF",DAL,33,28.6,0.57,0.12,0.69,0.89
141,"Bruno Fernando, PF",ATL,33,11.9,-0.96,1.65,0.69,0.39
142,"Justin Holiday, SF",IND,34,25.2,-0.72,1.40,0.68,0.82
143,"Isaac Bonga, SG",WSH,27,15.8,-1.36,2.03,0.67,0.41
144,"JaVale McGee, C",LAL,33,16.4,-0.02,0.68,0.65,0.50
145,"Ja Morant, PG",MEM,28,29.3,0.85,-0.21,0.64,0.79
146,"Cody Martin, SF",CHA,27,15.2,0.05,0.59,0.64,0.37
147,"Mike Scott, PF",PHI,36,18.6,-0.21,0.85,0.64,0.61
148,"Chris Clemons, PG",HOU,22,9.1,1.70,-1.07,0.63,0.19
149,"Isaiah Hartenstein, C",HOU,12,15.0,1.24,-0.61,0.63,0.15
150,"Luke Kennard, SG",DET,28,32.9,0.07,0.56,0.63,0.82
151,"Brook Lopez, C",MIL,33,26.4,-0.08,0.70,0.62,0.83
152,"Elfrid Payton, PG",NY,16,23.9,0.35,0.28,0.62,0.36
153,"Rondae Hollis-Jefferson, SF",TOR,26,19.9,0.08,0.53,0.61,0.45
154,"Kelan Martin, SF",MIN,13,16.0,-0.71,1.29,0.59,0.20
155,"Terrence Ross, SG",ORL,31,25.1,-1.02,1.60,0.58,0.69
156,"Norman Powell, SG",TOR,27,28.9,0.72,-0.15,0.57,0.71
157,"Yogi Ferrell, PG",SAC,26,13.7,-0.77,1.31,0.54,0.30
158,"D'Angelo Russell, SG",GS,22,31.4,2.53,-2.01,0.51,0.61
159,"PJ Washington, PF",CHA,31,29.8,-0.92,1.43,0.51,0.73
160,"D.J. Augustin, PG",ORL,33,25.8,-1.57,2.07,0.50,0.71
161,"Justin James, SG",SAC,16,11.0,-0.58,1.08,0.50,0.15
162,"Ky Bowman, PG",GS,31,22.7,-0.76,1.24,0.48,0.57
163,"Kyle Kuzma, PF",LAL,24,23.6,0.87,-0.39,0.48,0.48
164,"Danilo Gallinari, PF",OKC,28,30.5,1.18,-0.71,0.47,0.68
165,"Seth Curry, SG",DAL,31,21.9,-0.03,0.50,0.47,0.54
166,"Tristan Thompson, C",CLE,32,31.4,-1.25,1.71,0.47,0.80
167,"Aron Baynes, C",PHX,24,24.0,1.35,-0.89,0.45,0.49
168,"Bruce Brown, SG",DET,33,26.9,-1.89,2.33,0.45,0.70
169,"Mfiondu Kabengele, PF",LAC,10,4.4,0.50,-0.06,0.44,0.04
170,"Hamidou Diallo, SG",OKC,13,21.2,-0.43,0.86,0.43,0.21
171,"Clint Capela, C",HOU,28,33.4,0.35,0.08,0.43,0.76
172,"Buddy Hield, SG",SAC,34,34.3,1.29,-0.86,0.42,0.89
173,"Vince Carter, SG",ATL,28,15.7,-0.82,1.24,0.42,0.36
174,"Jake Layman, SF",MIN,14,26.4,0.61,-0.21,0.40,0.31
175,"Grant Williams, PF",BOS,29,15.1,-1.16,1.53,0.37,0.33
176,"Naz Reid, C",MIN,3,8.0,0.42,-0.06,0.36,0.02
177,"Tony Bradley, C",UTAH,22,8.9,-0.13,0.49,0.36,0.15
178,"Marcus Smart, PG",BOS,22,31.3,-1.11,1.47,0.36,0.50
179,"Trae Young, PG",ATL,31,34.9,4.22,-3.89,0.33,0.83
180,"Reggie Jackson, PG",DET,2,18.0,0.16,0.16,0.31,0.03
181,"Nemanja Bjelica, PF",SAC,34,26.6,0.40,-0.10,0.30,0.61
182,"Theo Pinson, SG",BKN,21,13.5,-0.69,0.97,0.28,0.20
183,"Romeo Langford, SG",BOS,8,11.0,-0.73,1.01,0.28,0.06
184,"Garrison Mathews, SG",WSH,11,11.8,0.29,-0.01,0.28,0.09
185,"Moritz Wagner, SF",WSH,21,20.4,1.67,-1.42,0.24,0.31
186,"Rodney Hood, SG",POR,21,29.5,0.84,-0.61,0.23,0.43
187,"Elie Okobo, SF",PHX,24,11.3,1.24,-1.01,0.23,0.18
188,"Dillon Brooks, SG",MEM,34,27.7,-0.29,0.51,0.22,0.64
189,"Shabazz Napier, PG",MIN,19,19.7,-0.19,0.39,0.20,0.26
190,"Daniel Gafford, PF",CHI,24,11.4,-0.58,0.78,0.20,0.18
191,"Ryan Broekhoff, SG",DAL,10,7.7,0.82,-0.62,0.20,0.05
192,"Kenrich Williams, SG",NO,32,23.5,-2.04,2.24,0.20,0.50
193,"T.J. McConnell, PG",IND,32,18.5,-0.20,0.40,0.19,0.36
194,"Myles Turner, C",IND,26,29.0,-0.82,0.98,0.17,0.45
195,"Carmelo Anthony, PF",POR,19,31.5,-0.16,0.31,0.16,0.35
196,"John Henson, PF",CLE,15,12.3,-0.10,0.25,0.14,0.11
197,"Justin Robinson, PG",WSH,8,5.6,-0.09,0.23,0.14,0.03
