RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
248,"Reggie Bullock, SF",DET,53,27.4,0.29,-1.09,-0.80,2.05
249,"Joe Harris, SF",BKN,68,25.4,0.46,-1.79,-1.33,1.91
250,"Tyler Johnson, SG",MIA,60,29.1,0.02,-0.96,-0.94,2.38
251,"T.J. McConnell, PG",PHI,62,24.0,-1.72,0.65,-1.07,1.98
252,"Langston Galloway, SG",DET,53,14.7,-0.06,0.73,0.67,1.87
253,"Andre Roberson, SG",OKC,39,26.6,-2.64,4.51,1.87,3.23
254,"Markel Brown, SG",HOU,4,7.8,-1.67,-0.47,-2.14,0.02
255,"Shabazz Napier, PG",POR,63,21.0,0.74,0.51,1.25,3.47
256,"Alfonzo McKinnie, SF",TOR,13,3.8,-1.55,0.09,-1.46,0.05
257,"Jerian Grant, PG",CHI,61,22.6,1.15,-0.73,0.42,3.04
258,"Adreian Payne, PF",ORL,5,8.6,-1.43,0.70,-0.73,0.06
259,"Allen Crabbe, SG",BKN,64,29.5,0.10,-1.38,-1.28,2.23
260,"Eric Moreland, PF",DET,56,11.5,-2.75,2.89,0.14,1.29
261,"Josh Huestis, SG",OKC,65,14.8,-3.72,1.09,-2.63,0.29
262,"Dwight Powell, C",DAL,69,20.9,0.24,2.28,2.52,4.89
263,"Gorgui Dieng, C",MIN,68,17.2,-2.24,-0.96,-3.20,-0.05
264,"Quinn Cook, PG",GS,21,15.5,-2.12,-1.14,-3.26,-0.02
265,"Marshall Plumlee, C",MIL,7,6.4,-1.96,1.61,-0.35,0.08
266,"Malcolm Brogdon, PG",MIL,46,30.5,0.22,-0.98,-0.76,2.09
267,"Dorian Finney-Smith, SF",DAL,11,14.2,-1.87,1.04,-0.83,0.19
268,"Ben McLemore, SG",MEM,45,18.4,-2.25,-0.88,-3.13,0.00
269,"Pat Connaughton, SG",POR,70,18.4,0.38,-1.37,-0.99,1.67
270,"Khem Birch, C",ORL,30,12.4,-1.69,1.12,-0.57,0.57
271,"Darrun Hilliard, SG",SA,14,6.8,-1.80,-0.32,-2.12,0.06
272,"Myke Henry, F",MEM,15,18.6,-1.43,-0.03,-1.46,0.29
273,"Cody Zeller, C",CHA,33,19.0,-1.07,1.03,-0.04,1.23
274,"Trey Burke, PG",NY,24,16.8,0.37,-2.24,-1.87,0.30
275,"Frank Kaminsky, PF",CHA,67,23.2,1.24,-2.09,-0.85,2.16
276,"James Ennis III, SF",DET/MEM,60,23.4,-0.96,-1.02,-1.98,0.96
277,"Jonathon Simmons, SF",ORL,69,29.4,-0.46,-2.28,-2.74,0.50
278,"Jalen Jones, SF",NO/DAL,10,8.1,-1.72,0.50,-1.22,0.07
279,"Ron Baker, SG",NY,29,13.3,-1.22,0.99,-0.23,0.70
280,"Larry Nance Jr., PF",CLE/LAL,55,22.5,0.61,2.62,3.23,5.18
281,"Spencer Dinwiddie, PG",BKN,69,29.2,3.13,0.48,3.61,8.33
282,"Dewayne Dedmon, C",ATL,51,24.1,-0.94,1.13,0.19,2.50
283,"Malcolm Miller, SF",TOR,14,8.4,-1.28,0.16,-1.12,0.11
284,"Kentavious Caldwell-Pope, SG",LAL,61,33.5,1.01,-0.07,0.94,5.33
285,"Johnny O'Bryant III, PF",CHA,36,10.5,-3.07,0.94,-2.13,0.23
286,"Rodney Hood, SG",CLE/UTAH,51,27.2,-0.13,-3.05,-3.18,-0.05
287,"Josh Richardson, SF",MIA,69,33.2,0.51,0.64,1.15,6.08
288,"Royce O'Neale, SF",UTAH,57,15.7,-0.49,2.12,1.63,2.51
289,"Elfrid Payton, PG",ORL/PHX,59,29.1,0.18,-1.61,-1.43,1.87
290,"James Michael McAdoo, SF",PHI,3,6.0,-1.68,0.75,-0.93,0.03
291,"Otto Porter Jr., SF",WSH,66,32.2,3.11,2.19,5.30,11.19
292,"Damion Lee, SG",ATL,3,21.3,-1.33,0.17,-1.16,0.02
293,"Briante Weber, PG",HOU/MEM,15,10.6,-1.58,-0.87,-2.45,0.05
294,"Treveon Graham, SG",CHA,57,17.1,-1.41,-1.09,-2.50,0.37
295,"Abdel Nader, SF",BOS,36,10.3,-3.17,-1.10,-4.27,-0.24
296,"Norman Powell, SF",TOR,59,16.0,-2.67,-0.67,-3.34,-0.13
297,"Alex Len, C",PHX,61,19.7,-1.37,0.95,-0.42,2.08
298,"Michael Carter-Williams, PG",CHA,52,16.1,-2.24,0.95,-1.29,0.95
299,"Shane Larkin, PG",BOS,45,12.3,-2.09,0.46,-1.63,0.46
300,"JaKarr Sampson, SF",SAC,15,15.1,-1.49,0.99,-0.50,0.34
301,"Joffrey Lauvergne, C",SA,48,10.4,-2.40,-0.28,-2.68,0.14
302,"Maximilian Kleber, PF",DAL,60,16.4,-2.01,1.73,-0.28,1.73
303,"Raul Neto, PG",UTAH,39,12.3,-0.66,0.18,-0.48,0.80
304,"Joe Ingles, SF",UTAH,70,31.2,1.55,1.00,2.55,7.61
305,"Aron Baynes, C",BOS,69,18.0,-3.72,3.59,-0.13,2.22
306,"Salah Mejri, C",DAL,57,11.7,-1.50,3.65,2.15,2.20
307,"Jameel Warney, PF",DAL,3,9.0,-1.83,1.08,-0.75,0.03
308,"Marcus Georges-Hunt, SG",MIN,39,5.2,-2.00,-0.75,-2.75,0.05
309,"Jake Layman, SF",POR,31,4.9,-2.35,-0.54,-2.89,0.02
310,"Marcus Paige, PG",CHA,1,3.0,-1.69,-0.37,-2.06,0.00
311,"Brice Johnson, PF",LAC/MEM,16,4.6,-1.97,0.99,-0.98,0.10
312,"Rodney Purvis, SG",ORL,5,11.4,-1.90,-0.31,-2.21,0.02
313,"TJ Warren, SF",PHX,65,33.0,-0.06,-2.16,-2.22,1.24
314,"Justin Anderson, SG",PHI,29,13.3,-1.67,0.22,-1.45,0.40
315,"Tyler Cavanaugh, PF",ATL,33,13.6,0.05,0.24,0.29,0.91
316,"Xavier Munford, PG",MIL,6,3.5,-1.76,-0.53,-2.29,0.01
317,"Joel Bolomboy, PF",MIL,6,6.3,-1.84,0.55,-1.29,0.04
318,"Charles Cooke, SG",NO,10,2.7,-1.89,0.00,-1.89,0.02
319,"Taurean Prince, SF",ATL,70,30.2,-0.57,-1.53,-2.10,1.35
320,"Naz Mitrou-Long, G",UTAH,1,1.0,-1.29,-0.09,-1.38,0.00
321,"Georges Niang, F",UTAH,5,2.4,-1.83,0.99,-0.84,0.01
