TEAM_NAME,G_ON_MADE,PLAYER_NAME,FREQUENCY_ON_MADE,PASS_ON_MADE,AST_ON_MADE,FGM_ON_MADE,FGA_ON_MADE,FG_PCT_ON_MADE,FG2M_ON_MADE,FG2A_ON_MADE,FG2_PCT_ON_MADE,FG3M_ON_MADE,FG3A_ON_MADE,FG3_PCT_ON_MADE,G_ON_RECEIVED,FREQUENCY_ON_RECEIVED,PASS_ON_RECEIVED,AST_ON_RECEIVED,FGM_ON_RECEIVED,FGA_ON_RECEIVED,FG_PCT_ON_RECEIVED,FG2M_ON_RECEIVED,FG2A_ON_RECEIVED,FG2_PCT_ON_RECEIVED,FG3M_ON_RECEIVED,FG3A_ON_RECEIVED,FG3_PCT_ON_RECEIVED
San Antonio Spurs,25.0,"Gasol, Pau",0.129,39.6,3.12,4.72,10.0,0.472,4.0,7.36,0.543,0.72,2.64,0.273,25.0,0.102,31.44,2.8,3.72,8.44,0.441,2.8,6.32,0.443,0.92,2.12,0.434
San Antonio Spurs,24.0,"Aldridge, LaMarcus",0.12,38.42,2.13,3.33,8.46,0.394,1.92,4.67,0.411,1.42,3.79,0.374,24.0,0.135,43.21,5.08,7.38,17.04,0.433,6.75,15.42,0.438,0.63,1.63,0.385
San Antonio Spurs,24.0,"Murray, Dejounte",0.11,35.42,2.42,3.63,9.08,0.399,2.88,6.5,0.442,0.75,2.58,0.29,25.0,0.115,35.28,0.72,1.96,5.0,0.392,1.84,4.64,0.397,0.12,0.36,0.333
San Antonio Spurs,24.0,"Green, Danny",0.1,32.0,2.08,3.25,8.29,0.392,2.58,6.54,0.395,0.67,1.75,0.381,24.0,0.097,31.0,2.96,3.5,8.79,0.398,1.75,4.04,0.433,1.75,4.75,0.368
San Antonio Spurs,23.0,"Anderson, Kyle",0.095,31.65,3.0,4.0,8.48,0.472,2.74,5.48,0.5,1.26,3.0,0.42,23.0,0.08,26.83,1.74,3.0,6.26,0.479,2.83,5.83,0.485,0.17,0.43,0.4
San Antonio Spurs,5.0,"Parker, Tony",0.02,30.8,5.2,6.2,11.6,0.534,3.8,8.4,0.452,2.4,3.2,0.75,5.0,0.024,36.8,1.2,3.2,6.6,0.485,3.2,6.4,0.5,0.0,0.2,0.0
San Antonio Spurs,23.0,"Gay, Rudy",0.085,28.43,1.74,2.43,6.17,0.394,1.61,3.96,0.407,0.83,2.22,0.373,23.0,0.07,23.39,2.17,3.83,9.17,0.417,3.22,7.17,0.448,0.61,2.0,0.304
San Antonio Spurs,21.0,"Ginobili, Manu",0.065,23.95,2.24,3.19,8.29,0.385,2.48,5.9,0.419,0.71,2.38,0.3,21.0,0.08,29.48,1.62,2.71,7.05,0.385,1.86,4.1,0.453,0.86,2.95,0.29
San Antonio Spurs,22.0,"Paul, Brandon",0.035,12.18,1.14,1.73,4.18,0.413,1.14,3.0,0.379,0.59,1.18,0.5,23.0,0.036,11.91,1.04,1.13,2.91,0.388,0.61,1.43,0.424,0.52,1.48,0.353
San Antonio Spurs,24.0,"Forbes, Bryn",0.037,11.88,0.88,1.25,3.08,0.405,0.88,2.25,0.389,0.38,0.83,0.45,24.0,0.05,16.04,2.25,2.54,6.0,0.424,1.29,3.04,0.425,1.25,2.96,0.423
San Antonio Spurs,12.0,"Lauvergne, Joffrey",0.018,11.58,0.75,1.17,3.75,0.311,1.08,2.83,0.382,0.08,0.92,0.091,12.0,0.014,9.25,0.83,0.92,2.67,0.344,0.92,2.5,0.367,0.0,0.17,0.0
San Antonio Spurs,19.0,"Bertans, Davis",0.025,9.95,0.47,1.0,1.84,0.543,0.68,1.32,0.52,0.32,0.53,0.6,20.0,0.019,7.2,1.25,1.35,3.0,0.45,0.4,0.65,0.615,0.95,2.35,0.404
San Antonio Spurs,3.0,"Hilliard, Darrun",0.004,9.33,0.33,1.0,2.67,0.375,0.67,2.33,0.286,0.33,0.33,1.0,3.0,0.004,10.0,0.0,0.33,1.67,0.2,0.33,1.0,0.333,0.0,0.67,0.0
Oklahoma City Thunder,23.0,"Westbrook, Russell",0.235,61.61,9.78,12.7,28.13,0.451,9.0,18.09,0.498,3.7,10.04,0.368,23.0,0.293,76.7,1.7,6.61,18.83,0.351,4.78,13.35,0.358,1.83,5.48,0.333
Oklahoma City Thunder,22.0,"Anthony, Carmelo",0.152,41.5,1.59,3.5,8.18,0.428,2.14,5.0,0.427,1.36,3.18,0.429,22.0,0.125,34.09,3.77,6.23,15.86,0.393,4.05,9.82,0.412,2.18,6.05,0.361
Oklahoma City Thunder,23.0,"George, Paul",0.124,32.43,3.3,4.48,12.96,0.346,3.3,8.83,0.374,1.17,4.13,0.284,23.0,0.156,40.91,4.09,6.61,17.17,0.385,3.65,9.83,0.372,2.96,7.35,0.402
Oklahoma City Thunder,23.0,"Felton, Raymond",0.102,26.57,2.22,3.91,9.13,0.429,2.78,6.04,0.46,1.13,3.09,0.366,23.0,0.117,30.74,0.78,2.61,6.0,0.435,1.91,4.09,0.468,0.7,1.91,0.364
Oklahoma City Thunder,23.0,"Grant, Jerami",0.096,25.0,0.96,1.83,5.09,0.359,1.0,2.87,0.348,0.83,2.22,0.373,23.0,0.073,19.13,2.26,2.7,6.26,0.431,2.26,4.7,0.481,0.43,1.57,0.278
Oklahoma City Thunder,23.0,"Roberson, Andre",0.07,18.3,1.04,1.78,5.65,0.315,1.3,3.91,0.333,0.48,1.74,0.275,23.0,0.05,13.0,1.65,1.7,3.48,0.488,1.39,2.26,0.615,0.3,1.22,0.25
Oklahoma City Thunder,23.0,"Patterson, Patrick",0.054,14.17,0.35,1.3,3.65,0.357,0.96,2.39,0.4,0.35,1.26,0.276,23.0,0.037,9.74,0.78,0.78,2.39,0.327,0.22,0.61,0.357,0.57,1.78,0.317
Oklahoma City Thunder,21.0,"Abrines, Alex",0.035,10.0,0.38,1.0,2.33,0.429,0.86,1.76,0.486,0.14,0.57,0.25,21.0,0.035,9.95,1.1,1.33,3.57,0.373,0.57,1.19,0.48,0.76,2.38,0.32
Oklahoma City Thunder,18.0,"Huestis, Josh",0.025,8.39,0.39,0.94,1.83,0.515,0.61,1.33,0.458,0.33,0.5,0.667,18.0,0.02,6.56,0.72,0.72,2.61,0.277,0.17,0.72,0.231,0.56,1.89,0.294
Oklahoma City Thunder,11.0,"Ferguson, Terrance",0.008,4.27,0.09,0.27,1.18,0.231,0.09,0.45,0.2,0.18,0.73,0.25,12.0,0.009,4.58,0.5,0.5,1.5,0.333,0.42,0.75,0.556,0.08,0.75,0.111
Toronto Raptors,22.0,"Lowry, Kyle",0.201,58.5,7.0,9.64,20.86,0.462,7.95,15.68,0.507,1.68,5.18,0.325,22.0,0.207,60.41,2.64,4.77,11.32,0.422,1.82,4.14,0.44,2.95,7.18,0.411
Toronto Raptors,22.0,"DeRozan, DeMar",0.126,36.64,4.86,6.05,13.41,0.451,3.55,6.27,0.565,2.5,7.14,0.35,22.0,0.178,52.05,2.41,7.32,18.14,0.404,6.59,15.64,0.422,0.73,2.5,0.291
Toronto Raptors,14.0,"Wright, Delon",0.074,33.93,2.64,4.21,12.29,0.343,2.29,5.93,0.386,1.93,6.36,0.303,14.0,0.081,37.0,0.79,2.43,4.71,0.515,1.86,2.79,0.667,0.57,1.93,0.296
Toronto Raptors,18.0,"Valanciunas, Jonas",0.086,30.5,0.67,2.11,4.56,0.463,1.5,3.11,0.482,0.61,1.44,0.423,18.0,0.055,19.78,2.22,3.11,6.72,0.463,3.06,6.44,0.474,0.06,0.28,0.2
Toronto Raptors,20.0,"Ibaka, Serge",0.091,29.35,0.5,2.3,6.25,0.368,1.55,4.15,0.373,0.75,2.1,0.357,20.0,0.077,24.85,3.8,4.4,9.85,0.447,2.9,5.55,0.523,1.5,4.3,0.349
Toronto Raptors,21.0,"Siakam, Pascal",0.085,25.9,1.76,2.67,5.76,0.463,1.71,3.62,0.474,0.95,2.14,0.444,21.0,0.059,18.14,2.52,3.0,6.05,0.496,2.57,3.95,0.651,0.43,2.1,0.205
Toronto Raptors,22.0,"VanVleet, Fred",0.088,25.68,3.05,4.27,8.5,0.503,2.95,5.18,0.57,1.32,3.32,0.397,22.0,0.101,29.55,0.82,2.05,5.32,0.385,1.23,3.05,0.403,0.82,2.27,0.36
